state_abbrev,region
DC,South
IL,Midwest
AL,South
CA,West
NY,North
NE,Midwest
MN,Midwest
OH,Midwest
IN,Midwest
MT,Rockies
MI,Midwest
OK,Southwest
SD,Midwest
NH,North
MO,Midwest
NV,Rockies
PA,North
ID,Rockies
SC,South
TX,Southwest
WV,South
NM,Southwest
WY,Rockies
ND,Midwest
MS,South
KS,Midwest
KY,South
WI,Midwest
VA,South
IA,Midwest
AR,South
OR,West
NC,South
LA,South
VT,North
AK,West
GA,South
DE,South
FL,South
CT,North
WA,West
MD,South
MA,North
CO,Rockies
TN,South
AZ,Southwest
ME,North
NJ,North
RI,North
UT,Rockies
HI,West
